State,Code,District,Code,,State,Code,District,Code,,State,Code,District,Code
Andhra Pradesh,1,Chittoor,1,,Kerala,10,Alappuzha,1,,Rajasthan,19,Ajmer,1
,,East Godavari,2,,,,Ernakulam,2,,,,Alwar,2
,,Guntur,3,,,,Idukki,3,,,,Banswara,3
,,Krishna,4,,,,Kannur,4,,,,Baran,4
,,Kurnool,5,,,,Kasaragod,5,,,,Barmer,5
,,Prakasam,6,,,,Kollam,6,,,,Bharatpur,6
,,Srikakulam,7,,,,Kottayam,7,,,,Bhilwara,7
,,Vizianagaram,8,,,,Kozhikode,8,,,,Bikaner,8
,,West Godavari,9,,,,Malappuram,9,,,,Bundi,9
,,,,,,,Palakkad,10,,,,Churu,10
Arunachal Pradesh,2,Papum Pare,1,,,,Pathanamthitta,11,,,,Dausa,11
,,,,,,,Thiruvananthapuram,12,,,,Dungarpur,12
Bihar,3,Araria,1,,,,Thrissur,13,,,,Hanumangarh,13
,,Aurangabad,2,,,,Wayanad,14,,,,Jaipur,14
,,Banka,3,,,,,,,,,Jaisalmer,15
,,Begusarai,4,,Madhya Pradesh,11,Anuppur,1,,,,Jalore,16
,,Bhagalpur,5,,,,Ashoknagar,2,,,,Jhalawar,17
,,Bhojpur,6,,,,Balaghat,3,,,,Jhunjhunu,18
,,Buxar,7,,,,Barwani,4,,,,Jodhpur,19
,,Darbhanga,8,,,,Betul,5,,,,Karauli,20
,,Gaya,9,,,,Bhind,6,,,,Kota,21
,,Gopalganj,10,,,,Bhopal,7,,,,Nagaur,22
,,Jamui,11,,,,Burhanpur,8,,,,Pali,23
,,Jehanabad,12,,,,Chhatarpur,9,,,,Pratapgarh,24
,,Kaimur,13,,,,Chhindwara,10,,,,Rajsamand,25
,,Katihar,14,,,,Damoh,11,,,,Sawai Madhopur,26
,,Khagaria,15,,,,Datia,12,,,,Sikar,27
,,Kishanganj,16,,,,Dewas,13,,,,Sirohi,28
,,Lakhisarai,17,,,,Dhar,14,,,,Tonk,29
,,Madhepura,18,,,,Guna,15,,,,Udaipur,30
,,Madhubani,19,,,,Gwalior,16,,,,,
,,Munger,20,,,,Harda,17,,Tamil Nadu,20,Ariyalur,1
,,Muzaffarpur,21,,,,Hoshangabad,18,,,,Chennai,2
