Day,Retail,Grocery/ Pharma,Parks,Transit Spots,Workplaces,Residential,Lockdown,Active Cases
1,-80.45886076,-31.61392405,-55.83227848,-63.5443038,-29.64556962,22.34493671,-100,16564
2,-79.38343558,-26.47852761,-47.80674847,-62.31595092,-45.72699387,26.54907975,-100,17249
3,-78.95495495,-25.9009009,-47.22222222,-60.73273273,-46,25.6996997,-100,18405
4,-78.69642857,-24.11011905,-47.01190476,-59.82440476,-44.16964286,24.92261905,-100,19209
5,-78.69117647,-24.49117647,-46.96470588,-60.30588235,-43.85,24.96764706,-100,20179
6,-78.91040462,-25.43352601,-47.55491329,-60.84393064,-45.88439306,25.63583815,-100,21404
7,-78.61959654,-24.3832853,-49.34870317,-60.31123919,-39.68587896,24.23342939,-100,22592
8,-78.66571429,-25.78571429,-52.49428571,-60.49428571,-25.08857143,20.31714286,-100,24202
9,-75.45454545,-15.64204545,-44.80113636,-56.32670455,-38.27556818,22.59659091,-100,26311
10,-74.77437326,-14.93593315,-44.1086351,-54.59888579,-38.4735376,21.78830084,-100,27490
11,-73.16022099,-8.988950276,-43.20994475,-51.8121547,-35.07734807,20.9640884,-100,29252
12,-72.61517615,-9.536585366,-42.76693767,-52.2601626,-37.44444444,21.59349593,-100,30707
13,-71.6,-5.216,-42.232,-50.584,-32.54933333,20.81066667,-100,32360
14,-72.86243386,-9.388888889,-44.60846561,-52.82804233,-33.68518519,21.52380952,-100,33828
15,-74.3012987,-15.79480519,-48.0961039,-54.52207792,-18.28831169,18.15584416,-100,35650
16,-70.18863049,-3.07751938,-40.32299742,-49.35658915,-30.74160207,20.0878553,-100,37016
17,-69.55696203,-2.141772152,-39.30886076,-47.46329114,-31.41012658,19.67341772,-100,38288
18,-69.23989899,-0.712121212,-39.32070707,-46.75505051,-29.1010101,18.90909091,-100,39939
19,-68.36090226,-0.418546366,-39.20802005,-46.70175439,-28.7518797,19.53132832,-100,42103
20,-67.34243176,3.136476427,-39.12903226,-45.48138958,-26.35483871,19.01736973,-100,43581
21,-67.9525,1.215,-41.3625,-46.55,-23.985,18.6575,-100,44404
22,-69.91811414,-5.379652605,-45.05459057,-49.27295285,-12.40198511,16.28039702,-100,46692
23,-65.64320388,8.041262136,-37.63106796,-44.4223301,-24.83980583,18.04854369,-100,48549
24,-65.17176471,7.52,-37.25647059,-42.54352941,-24.91764706,17.31294118,-100,50289
25,-64.22663551,8.488317757,-38.26635514,-41.71962617,-24.03271028,17.58411215,-100,52029
26,-63.69124424,9.870967742,-37.71428571,-40.62903226,-23.67511521,17.15898618,-100,54112
27,-63.1359447,11.4516129,-37.11751152,-40.14746544,-21.82949309,16.94239631,-100,56585
28,-64.09259259,9.138888889,-39.37037037,-41.84027778,-22.21296296,16.99537037,-100,59682
29,-67.21728972,0.275700935,-43.04672897,-45.8317757,-9.934579439,14.85514019,-100,62358
30,-64.52293578,6.431192661,-35.57110092,-44.53669725,-32.45642202,18.47706422,-100,64423
31,-61.83561644,13.62785388,-34.8630137,-39.07990868,-21.44520548,15.17351598,-100,65831
32,-60.99543379,16.39269406,-35.54109589,-37.81506849,-19.34703196,14.86986301,-100,67459
33,-61.03153153,15.49099099,-35.02702703,-38.47972973,-19.18693694,15.31531532,-100,69774
34,-60.13707865,18.74157303,-34.99101124,-38.06516854,-17.37977528,14.94831461,-100,64246
35,-60.97972973,15.78378378,-37.64414414,-39.40765766,-13.66441441,14.58783784,-100,66391
36,-64.06605923,7.070615034,-41.3166287,-43.15489749,-3.503416856,12.99088838,-100,68083
37,-57.04288939,24.92099323,-33.46501129,-34.80812641,-16.0744921,13.43566591,-100,70385
38,-56.82844244,24.45598194,-33.20767494,-33.26410835,-16.78103837,12.96162528,-100,72198
39,-56.18594104,26.80725624,-33.68480726,-31.42857143,-15.36734694,12.65759637,-100,74860
40,-56.66591928,24.61883408,-34.0470852,-32.46636771,-15.62107623,13.30493274,-100,77686
41,-54.42600897,24.70179372,-32.80269058,-33.06726457,-15.21524664,13.22869955,-100,80151
42,-54.4469526,25.02031603,-34.8510158,-33.72234763,-11.73814898,12.81264108,-100,82425
43,-58.47272727,14.94090909,-39.06136364,-37.78863636,-3.275,11.62727273,-100,84814
44,-50.57918552,32.75791855,-31.14932127,-29.9841629,-13.01809955,11.75339367,-100,87244
45,-51.8276644,28.06802721,-31.71655329,-30.39002268,-14.47619048,11.75056689,-100,89012
46,-50.14058957,32.32199546,-31.5600907,-28.2585034,-13.07482993,11.27210884,-100,91244
47,-48.64125561,32.132287,-30.84753363,-29.01345291,-13.96412556,11.86995516,-100,94434
48,-47.51793722,35.36547085,-31.09192825,-27.54035874,-13.16143498,11.53811659,-100,96918
49,-50.53273138,28.03160271,-33.48306998,-32.21444695,-16.68397291,12.69074492,-100,99675
50,-55.05227273,17.77045455,-37.40227273,-35.78863636,-4.295454545,11.03863636,-100,101951
51,-47.87528345,32.94557823,-29.93877551,-29.80272109,-15.88662132,11.29705215,-100,100583
52,-48.43665158,31.03393665,-29.17420814,-29.41855204,-15.37104072,10.66742081,-100,100265
53,-48.16553288,32.38095238,-31.22675737,-28.46031746,-14.3106576,11.02267574,-100,103266
54,-48.66966292,27.21797753,-31.4741573,-30.42921348,-14.83146067,11.59775281,-100,106600
55,-47.98206278,29.52017937,-31.30941704,-29.82735426,-13.97309417,11.72869955,-100,109586
56,-49.75056689,24.92290249,-33.61678005,-32.83900227,-12.17006803,11.74829932,-100,113529
57,-58.91571754,4.410022779,-39.92255125,-42.56264237,-6.485193622,14.10022779,-100,116740
